Item,Source,Type,Subtype,Subtype2,Proficiency,Shop-Type,Availability,Primary-Materials,Secondary-Materials,Add-On-Materials,lbs,Mat-Base-Price,Material-Cost,Labor-Cost,Resale- Value-Low,Resale-Value-High,Resale-Value-Normal,Cost-Low,Cost-High,Total-Cost,Text
Cooks Utensils,PHB,Tools,Artisans-Tools,,,General-Store,All-Access,"Bone, Metal, Wood",,"Dye, Gem, Mineral, Textile",8.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"Adventuring is a hard life. With a cook along on the journey, your meals will be much better than the typical mix of hardtack and dried fruit."
Disguise Kit,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,Textile,Hide,"Bone, Dye, Gem, Metal",3.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"The perfect tool for anyone who wants to engage in trickery, a disguise kit enables its owner to adopt a false identity."
Fishing Tackle,PHB,Tools,Artisans-Tools,,,General-Store,All-Access,Wood,"Bone, Flesh, Metal, Textile",Dye,,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting."
Forgery Kit,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Earthenware, Glass, Wax","Dye, Mineral","Gem, Metal, Perfume",5.00,1.20,9.60,2.40,3.60,7.20,4.80,12.00,21.00,15.00,A forgery kit is designed to duplicate documents and to make it easier to copy a persons seal or signature.
Glassblowers Tools,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,Metal,,,5.00,2.40,19.20,4.80,7.20,14.40,9.60,24.00,42.00,30.00,"Someone who is proficient with glassblowers tools has not only the ability to shape glass, but also specialized knowledge of the methods used to produce glass objects."
Herbalism Kit,PHB,Tools,Artisans-Tools,,,General-Store,All-Access,"Earthenware, Glass, Wax","Metal, Wood","Dye, Gem, Mineral, Plant",3.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,Proficiency with an herbalism kit allows you to identify plants and safely collect their useful elements.
Jewelers Tools,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Glass, Metal, Wood","Dye, Gem, Mineral, Wax","Leather, Textile",2.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,Training with jewelers tools includes the basic techniques needed to beautify gems. It also gives you expertise in identifying precious stones.
Leatherworkers Tools,PHB,Tools,Artisans-Tools,,,General-Store,All-Access,Wood,"Dye, Hide, Textile, Wax","Gem, Metal, Hide",5.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,Knowledge of leatherworking extends to lore concerning animal hides and their properties. It also confers knowledge of leather armor and similar goods.
Masons Tools,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Metal, Wood","Bone, Dye, Textile","Gem, Hide",8.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"Masons tools allow you to craft stone structures, including walls and buildings crafted from brick."
Navigators Tools,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Glass, Metal, Wood",,"Dye, Leather, Textile",2.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"This set of instruments is used for navigation at sea. Proficiency with navigators tools lets you chart a ships course and follow navigation charts. In addition, these tools allow you to add your proficiency bonus to any ability check you make to avoid getting lost at sea."
Painters Supplies,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Dye, Textile, Wood","Earthenware, Glass","Gem, Metal, Mineral, Wax",5.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"Proficiency with painters supplies represents your ability to paint and draw. You also acquire an understanding of art history, which can aid you in examining works of art."
Poisoners Kit,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Earthenware, Glass, Wax","Metal, Wood","Dye, Gem, Mineral, Plant",2.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"The Poisoner’s kit is often just a converted Herbalism kit, capable of crafting concoctions designed to end a life rather than save it. It allows you to apply toxins and create them from various materials. Your knowledge of poisons also helps you craft antitoxins to treat them."
Potters Tools,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Metal, Wood","Bone, Dye, Textile","Gem, Hide",3.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"Potters tools are used to create a variety of ceramic objects, most typically pots and similar vessels."
Smiths Tools,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Hide, Metal, Wood","Bone, Dye, Mineral, Textile",Gem,8.00,1.60,12.80,3.20,4.80,9.60,6.40,16.00,28.00,20.00,"Smiths tools allow you to work metal, heating it to alter its shape, repair damage, or work raw ingots into useful items."
Thieves Tools,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Bone, Metal, Wood",,"Dye, Gem, Mineral, Textile",1.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"Perhaps the most common tools used by adventurers, thieves tools are designed for picking locks and foiling traps. Proficiency with the tools also grants you a general knowledge of traps and locks."
Tinkers Tools,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Bone, Metal, Wood",,"Dye, Gem, Mineral, Textile",10.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"Tinkers are capable of crafting more complicated items that often involve some mechanical work such as scales, fishing tackle, and other rudimentary mechanical marvels."
Weavers Tools,PHB,Tools,Artisans-Tools,,,General-Store,All-Access,"Dye, Textile, Wood","Bone, Metal","Gem, Mineral",5.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,Weavers tools allow you to create cloth and tailor it into articles of clothing.
Woodcarvers Tools,PHB,Tools,Artisans-Tools,,,General-Store,All-Access,"Bone, Metal, Mineral",Wood,"Dye, Gem, Leather, Textile",5.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"Woodcarvers tools allow you to craft intricate objects from wood, such as wooden tokens or arrows."
Dice Set,PHB,Tools,Gaming-Set,,By-Material,General-Store,All-Access,"Bone, Mineral, Wood",,"Dye, Gem, Mineral",-,0.01,0.06,0.02,0.02,0.05,0.03,0.08,0.14,0.10,"Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice."
Dragonchess Set,PHB,Tools,Gaming-Set,,By-Material,General-Store,All-Access,"Bone, Mineral, Wood",,"Dye, Gem",-,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set."
Horn,PHB,Tools,Musical-Instrument,Brass,Woodcarvers-Tools,General-Store,All-Access,"Bone, Metal, Wood",Wax,"Dye, Gem, Mineral, Textile",2.00,0.24,1.92,0.48,0.72,1.44,0.96,2.40,4.20,3.00,Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.
Drum,PHB,Tools,Musical-Instrument,Percussion,Woodcarvers-Tools,General-Store,All-Access,"Hide, Textile",Wax,"Dye, Gem, Mineral, Textile",3.00,0.48,3.84,0.96,1.44,2.88,1.92,4.80,8.40,6.00,Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.
Dulcimer,PHB,Tools,Musical-Instrument,String,Woodcarvers-Tools,General-Store,Town-Access,"Metal, Wood",,"Dye, Gem, Textile",10.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.
Lute,PHB,Tools,Musical-Instrument,String,Woodcarvers-Tools,General-Store,Town-Access,"Bone, Flesh, Wood",Wax,"Dye, Gem, Metal ,Mineral, Textile",2.00,2.80,22.40,5.60,8.40,16.80,11.20,28.00,49.00,35.00,Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.
Lyre,PHB,Tools,Musical-Instrument,String,Woodcarvers-Tools,General-Store,Town-Access,"Bone, Flesh, Wood",Wax,"Dye, Gem, Metal ,Mineral, Textile",2.00,2.40,19.20,4.80,7.20,14.40,9.60,24.00,42.00,30.00,Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.
Viol,PHB,Tools,Musical-Instrument,String,Woodcarvers-Tools,General-Store,Town-Access,"Flesh, Wood",Wax,"Bone, Dye, Gem, Metal, Mineral, Textile",1.00,2.40,19.20,4.80,7.20,14.40,9.60,24.00,42.00,30.00,Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.
Bagpipes,PHB,Tools,Musical-Instrument,Wind,Woodcarvers-Tools,General-Store,Town-Access,"Hide, Textile",Wax,"Dye, Gem, Mineral, Textile",6.00,2.40,19.20,4.80,7.20,14.40,9.60,24.00,42.00,30.00,Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.
Flute,PHB,Tools,Musical-Instrument,Wind,Woodcarvers-Tools,General-Store,All-Access,"Bone, Wood",Wax,"Dye, Gem, Metal ,Mineral, Textile",1.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.
Pan Flute,PHB,Tools,Musical-Instrument,Wind,Woodcarvers-Tools,General-Store,Town-Access,"Bone, Wood",Wax,"Dye, Gem, Mineral, Textile",2.00,0.96,7.68,1.92,2.88,5.76,3.84,9.60,16.80,12.00,Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.
Shawm,PHB,Tools,Musical-Instrument,Wind,Woodcarvers-Tools,General-Store,All-Access,"Bone, Wood",Wax,"Dye, Gem, Metal ,Mineral, Textile",-,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.
Guildhall,HB,Stronghold,Business,,Carpenters-Tools,Landowner,Special-Access,Wood,Earthenware,Textile,-,320.00,"2,560.00",640.00,960.00,"1,920.00","1,280.00","3,200.00","5,600.00","4,000.00","A Large and often-storied house dedicated to housing members of a guild, typically all of a single profession. Contains semi-private quarters for up to 25 individuals, and a free dining hall that costs neither expansion unts nor gold.

Expansion Units: 2"
Trading post,HB,Stronghold,Business,,Carpenters-Tools,Landowner,Special-Access,Wood,"Earthenware, Textile",Textile,-,320.00,"2,560.00",640.00,960.00,"1,920.00","1,280.00","3,200.00","5,600.00","4,000.00","A simple but perhaps elaborately and colorfully adorned set of shacks, tents, or shops - each holding wares. Comes equipped with private lodging for 5 important persons and bunks or hammocks for up to 45 travellers, traders, or passing merchants. This structure also includes a caravansary.

Expansion Units: 2"
Dungeon,HB,Stronghold,Governing,,Masons-Tools,Landowner,Special-Access,Earthenware,Wood,Textile,-,960.00,"7,680.00","1,920.00","2,880.00","5,760.00","3,840.00","9,600.00","16,800.00","12,000.00","An underground dwelling, dank, pungent, and dark. Perhaps composed of mineshafts, carved stone, or ancient sunken ruins. Dimly lit by torches, lava, or phosphorescent fungi. Contains communal living quarters for up to 50 tightly packed humanoids, and free jails that cost neither expansion units nor gold.

Expansion Units: 3"
Small Castle,HB,Stronghold,Governing,,Masons-Tools,Landowner,Special-Access,Earthenware,Wood,Textile,-,"3,200.00","25,600.00","6,400.00","9,600.00","19,200.00","12,800.00","32,000.00","56,000.00","40,000.00","A structure equipped with heavy stone walls, turrets, and spires. There is a master room, as well as private rooms for up to 50 distinguished guests. This structure can house up to 450 persons in less comfortable, occasionally communal living space. This structure comes with a war room at no additional costs.

Expansion Units: 6"
Large Castle,HB,Stronghold,Governing,,Masons-Tools,Landowner,Special-Access,Earthenware,Wood,Textile,-,"32,000.00","256,000.00","64,000.00","96,000.00","192,000.00","128,000.00","320,000.00","560,000.00","400,000.00","A beautiful structure worthy of a king, containing pseronal chambers for the owners, private quarters for up to 200 distinuished guests, and common residences for up to 1,800 servants and soldiers. This structure comes with one free expansion of the owners choice as long as it would cost one expansion unit.

Expansion Units: 10"
Land,HB,Stronghold,Land,,,Landowner,Premium-Access,Wood,"Stone, Brick",Textile,-,80.00,640.00,160.00,240.00,480.00,320.00,800.00,"1,400.00","1,000.00",Plots of land; small plots 100-1000gp. Larger plots run 5000gp
Cottage,HB,Stronghold,Living-Quarters,,Carpenters-Tools,Landowner,Premium-Access,Wood,"Earthenware, Textile",Textile,-,160.00,"1,280.00",320.00,480.00,960.00,640.00,"1,600.00","2,800.00","2,000.00","A small to medium cozy hovel, or home that can house a maximum of 5 people in close quarters. Made of thatch, lumber, brick, or similar. You may build one expansion at half of its gold cost here.

Expansion Units: 1"
Manor,HB,Stronghold,Living-Quarters,,Masons-Tools,Landowner,Special-Access,Earthenware,Wood,Textile,-,"1,600.00","12,800.00","3,200.00","4,800.00","9,600.00","6,400.00","16,000.00","28,000.00","20,000.00","A fine manor house on a wide tract of land, expertly manicured or tailored how you wish. Contains private rooms for up to 15 individuals, as well as lower quality and well hidden semi-private quarters for a serving staff of up to 35 persons., as well as a library.

Expansion Units: 4"
Outpost,HB,Stronghold,Military,,Masons-Tools,Landowner,Special-Access,Earthenware,Wood,Textile,-,960.00,"7,680.00","1,920.00","2,880.00","5,760.00","3,840.00","9,600.00","16,800.00","12,000.00","A military structure containing crivate quarters for up to 25 officers and common bunks for up to 225 soldiers and staff, and an armory.

Expansion Units: 3"
"Tower, fortified",HB,Stronghold,Military,,Masons-Tools,Landowner,Special-Access,Earthenware,Wood,Textile,-,960.00,"7,680.00","1,920.00","2,880.00","5,760.00","3,840.00","9,600.00","16,800.00","12,000.00","A large single spire that includes 25 occupants, tightly packed bunks for up to 100 visitors, and a stables.

Expansion Units: 3"
Abbey,HB,Stronghold,Religious,,Masons-Tools,Landowner,Special-Access,Wood,Earthenware,Textile,-,"3,200.00","25,600.00","6,400.00","9,600.00","19,200.00","12,800.00","32,000.00","56,000.00","40,000.00","Often dedicated to a particular deity or holy/monastic order. Made plain or ornate, befitting its order, out of local stone or wood. Contains mostly communal living quarters for up to 100 persons, and a garden.

Expansion Units: 6"
Temple,HB,Stronghold,Religious,,Masons-Tools,Landowner,Special-Access,Earthenware,Wood,Textile,-,"3,200.00","25,600.00","6,400.00","9,600.00","19,200.00","12,800.00","32,000.00","56,000.00","40,000.00","Carved in the image of a god or pantheon, this place contains communal bunks suitable for 100 pilgrims or acolytes, and private quarters for up to 25 ranking members of the clergy, as well as a chapel.

Expansion Units: 6"
Large School,HB,Stronghold,School,,Carpenters-Tools,Landowner,Special-Access,Wood,Earthenware,Textile,-,"3,200.00","25,600.00","6,400.00","9,600.00","19,200.00","12,800.00","32,000.00","56,000.00","40,000.00","Contains lavish private quarters for up to 10 instructors and communal, living for up to 90 students, in addition to a theater equppied with seating and a stage.

Expansion Units: 6"
Mastiff,PHB,Creature,Domestic,,Animal-Handling,Stable,Town-Access,Mastiff,,,195.00,2.00,16.00,4.00,,,,,,25.00,"Speed: 40, Carrying Capacity: 195 lb."
"Horse, Draft",PHB,Creature,Draft,,Animal-Handling,Stable,Town-Access,Horse,,,540.00,4.00,32.00,8.00,,,,,,50.00,"Speed: 40, Carrying Capacity: 540 lb."
Sled Dog,PHB,Creature,Draft,,Animal-Handling,Stable,Town-Access,Dog,,,360.00,4.00,32.00,8.00,,,,,,50.00,"A sled dog (use the wolf stat block in appendix A of the Monster Manual) costs 50 gp and can pull 360 pounds.

Sled dogs must take a short rest after pulling a sled for 1 hour; otherwise, they gain one level of exhaustion."
Axe Beak,PHB,Creature,Mount,,Animal-Handling,Stable,Town-Access,Axe Beak,,,420.00,4.00,32.00,8.00,,,,,,50.00,"An axe beaks splayed toes allow it to run across snow, and it can carry as much weight as a mule."
Camel,PHB,Creature,Mount,,Animal-Handling,Stable,Town-Access,Camel,,,480.00,4.00,32.00,8.00,,,,,,50.00,"Speed: 50, Carrying Capacity: 480 lb."
Elephant,PHB,Creature,Mount,,Animal-Handling,Stable,City-Access,Elephant,,,"1,320.00",16.00,128.00,32.00,,,,,,200.00,"Speed: 40, Carrying Capacity: 1320 lb.        "
Griffon,HB,Creature,Mount,,Animal-Handling,Stable,Premium-Access,Griffon,,,400.00,120.00,960.00,240.00,,,,,,"1,500.00","Griffon eggs are worth 350 gp apiece on the open market, while young are worth 700 gp each. Professional trainers charge 150 gp to rear or train a griffon."
"Horse, Riding",PHB,Creature,Mount,,Animal-Handling,Stable,City-Access,Horse,,,480.00,6.00,48.00,12.00,,,,,,75.00,"Speed: 60, Carrying Capacity: 480 lb."
Mule,PHB,Creature,Mount,,Animal-Handling,Stable,Town-Access,Mule,,,420.00,0.64,5.12,1.28,,,,,,8.00,"Speed: 40, Carrying Capacity: 420 lb."
Pony,PHB,Creature,Mount,,Animal-Handling,Stable,Town-Access,Pony,,,225.00,2.40,19.20,4.80,,,,,,30.00,"Speed: 40, Carrying Capacity: 225 lb."
Warhorse,PHB,Creature,Mount,,Animal-Handling,Stable,City-Access,Horse,,,540.00,32.00,256.00,64.00,,,,,,400.00,"Speed: 60, Carrying Capacity: 540 lb."
Leather Armor,PHB,Armor,Light,,Leatherworkers-Tools,Leatherworker,Town-Access,Hide,,"Dye, Gem, Metal, Mineral",10.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.
Studded Leather Armor,PHB,Armor,Light,,Leatherworkers-Tools,Leatherworker,Town-Access,Hide,Metal,"Dye, Gem, Mineral",13.00,3.60,28.80,7.20,10.80,21.60,14.40,36.00,63.00,45.00,"Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Hide Armor,PHB,Armor,Medium,,Leatherworkers-Tools,Leatherworker,Town-Access,Hide,Leather,"Dye, Gem, Metal, Mineral",12.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
Crystal,PHB,Gear,Focus,,Jewelers-Tools,Arcane-Shop,Town-Access,Mineral,,"Gem, Metal",1.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
Orb,PHB,Gear,Focus,,Jewelers-Tools,Arcane-Shop,Town-Access,Mineral,,"Gem, Metal",3.00,1.60,12.80,3.20,4.80,9.60,6.40,16.00,28.00,20.00,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
Rod,PHB,Gear,Focus,,Smiths-Tools,Arcane-Shop,Town-Access,Metal,,"Dye, Gem, Leather ,Mineral, Textile",2.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
Good Tea,ToA,Foodstuffs,Drink,,Herbalism-Kit,Potion-Shop,City-Access,Plant,,,-,20.00,20.00,5.00,7.50,15.00,10.00,24.00,42.00,30.00,"The vital quality herbs can be ground, dissolved in a liquid, heated, and ingested. A creature that ingests 1 ounce of herb in this fashion regains 1 hit point. A creature that ingests more than 5 ounces in a 24-hour period gains no additional benefit and must succeed on a DC 11 Constitution saving throw or fall unconscious for 1 hour. The unconscious creature awakens if it takes at least 5 damage on one turn."
Olisuba Tea,EGW,Foodstuffs,Drink,,Herbalism-Kit,Potion-Shop,Town-Access,Plant,,,-,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"These dried leaves of the Olisuba bush, when steeped to make a tea, can help a body recover from strenuous activity. If you drink a dose of Olisuba tea during a long rest, your exhaustion level is reduced by 2 instead of 1 at the end of that long rest."
Dreamlily,ERLW,Foodstuffs,Drug,,Alchemists-Supplies,Shady-Dealer,City-Access,Dreamlily,,,-,16.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"A psychoactive liquid that smells and tastes like your favorite beverage, essence of dreamlily is a Sarlonan opiate. First imported to help manage pain during the Last War, its now the most commonly abused substance in Sharn. Though dreamlily isnt illegal if used for medicinal purposes, its heavily taxed, and thus most dreamlily is smuggled in and sold on the black market. Dreamlily dens can be found across the lower wards. Consuming dreamlily causes disorienting euphoria and brings about remarkable resistance to pain. A creature under the effects of dreamlily is poisoned for 1 hour. While poisoned in this way, the creature is immune to fear, and the first time it drops to 0 hit points without being killed outright, it drops to 1 hit point instead. A dose of dreamlily costs around 1 gp, or up to ten times that if purchased through legal channels. There are many varieties of the drug, however, and the duration or the price might vary accordingly."
Feys Blood,ERLW,Foodstuffs,Drug,,Alchemists-Supplies,Shady-Dealer,Town-Access,Feys Blood,Vial,,-,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"Feys blood is a potent and highly addictive stimulant. In addition to inducing euphoria, it can enhance spellcasting ability or even temporarily imbue a user with the ability to cast sorcerer spells. The drugs effects are potentially dangerous and always unpredictable. The specific effects of dragons blood are up to you, but you can take inspiration from the Wild Magic Surge table in the Players Handbook."
Fire-herb,HB,Foodstuffs,Drug,,Herbalism-Kit,Shady-Dealer,Premium-Access,Plant,,,-,60.00,60.00,15.00,22.50,45.00,30.00,72.00,126.00,90.00,"A red-brown mossy herb that, when heated (even from the friction of rubbing it between your fingers), releases wisps of smoke that create feelings of euphoria when inhaled and is used as a recreational drug. Fire-herb is highly addictive, limiting its medicinal use, though it is sometimes used to reduce cranial swelling and offer pain relief."
Nevermind,HB,Foodstuffs,Drug,,Herbalism-Kit,Shady-Dealer,Premium-Access,Plant,,,-,200.00,200.00,50.00,75.00,150.00,100.00,240.00,420.00,300.00,"small plant with long purple leaves, gives a sense of comfort and nostalgia, as well as blocks out your super-ego and makes you give into base desires."
Black Sap,EGW,Gear,Drug,,Herbalism-Kit,Shady-Dealer,City-Access,Deaths Head Willow,,"Leather, Textile, Gem,",-,24.00,192.00,48.00,72.00,144.00,96.00,240.00,420.00,300.00,"This tarry substance harvested from the dark boughs of the deaths head willow is a powerful intoxicant. It can be smoked as a concentrate or injected directly into the bloodstream. A creature subjected to a dose of black sap cannot be charmed or frightened for 1d6 hours.

For each dose of black sap consumed, a creature must succeed on a DC 15 Constitution saving throw or become poisoned for 2d4 hours—an effect that is cumulative with multiple doses."
Blight Ichor,EGW,Gear,Drug,,Herbalism-Kit,Shady-Dealer,City-Access,Blight Fungus,,"Leather, Textile, Gem,",-,16.00,128.00,32.00,48.00,96.00,64.00,160.00,280.00,200.00,"This bitter chartreuse concoction is distilled from a fungus native to the Blightshore badlands. The sickly green liqueur harbors potent psychedelic properties. Provided it is neither a construct nor undead, a creature subjected to a dose of blight ichor gains advantage on Intelligence and Wisdom checks, as well as vulnerability to psychic damage, for 1 hour. For each dose of blight ichor consumed, the creature must succeed on a DC 15 Constitution saving throw or become poisoned for 1d6 hours and suffer the effects of a confusion spell for 1 minute. An undead creature subjected to a dose of blight ichor gains advantage on all Dexterity checks and is immune to the frightened condition for 1 hour."
Bit and Bridle,PHB,Tack-and-Harness,Accessory,,Leatherworkers-Tools,Stable,All-Access,"Hide, Textile",Metal,"Bone, Dye, Gem",1.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,Standard equipment used to direct a mount.
Saddlebags,PHB,Tack-and-Harness,Accessory,,Weavers-Tools,Stable,All-Access,Textile,Metal,"Bone, Dye, Gem",8.00,0.32,2.56,0.64,0.96,1.92,1.28,3.20,5.60,4.00,Standard saddlebags that can be attached to a mounts saddle.
"Barding, Padded",PHB,Tack-and-Harness,Armor,,Weavers-Tools,Stable,Town-Access,Textile,,Dye,16.00,1.60,12.80,3.20,4.80,9.60,6.40,16.00,28.00,20.00,"Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

Padded armor consists of quilted layers of cloth and batting."
Feed (one day),PHB,Tack-and-Harness,Food,,Cooks-Utensils,Stable,All-Access,Plant,,,10.00,0.00,0.03,0.01,0.01,0.02,0.02,0.04,0.07,0.05,Standard feed typically consumed by a mount per day.
Exotic Saddle,PHB,Tack-and-Harness,Saddle,,Leatherworkers-Tools,Stable,Town-Access,Hide,Metal,"Bone, Dye, Gem, Mineral",40.00,4.80,38.40,9.60,14.40,28.80,19.20,48.00,84.00,60.00,An exotic saddle is required for riding any aquatic or flying mount.
Military Saddle,PHB,Tack-and-Harness,Saddle,,Leatherworkers-Tools,Stable,Town-Access,Hide,Metal,"Bone, Dye, Gem, Mineral",30.00,1.60,12.80,3.20,4.80,9.60,6.40,16.00,28.00,20.00,"A military saddle braces the rider, helping you keep your seat on an active mount in battle. It gives you advantage on any check you make to remain mounted."
Pack Saddle,PHB,Tack-and-Harness,Saddle,,Leatherworkers-Tools,Stable,All-Access,"Hide, Textile",Metal,"Bone, Dye, Gem",15.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,A standard saddle for a pack mount.
Riding Saddle,PHB,Tack-and-Harness,Saddle,,Leatherworkers-Tools,Stable,Town-Access,"Hide, Textile",Metal,"Bone, Dye, Gem",25.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,A standard saddle for a riding mount.
Carriage,PHB,Vehicle,Drawn,,Carpenters-Tools,Stable,City-Access,Wood,"Metal, Textile",,600.00,8.00,64.00,16.00,24.00,48.00,32.00,80.00,140.00,100.00,a four-wheeled passenger vehicle pulled by two or more horses.
Cart,PHB,Vehicle,Drawn,,Carpenters-Tools,Stable,Town-Access,Wood,Metal,,200.00,1.20,9.60,2.40,3.60,7.20,4.80,12.00,21.00,15.00,"a strong open vehicle with two or four wheels, typically used for carrying loads and pulled by a horse."
Chariot,PHB,Vehicle,Drawn,,Carpenters-Tools,Stable,City-Access,Wood,"Metal, Textile",,100.00,20.00,160.00,40.00,60.00,120.00,80.00,200.00,350.00,250.00,a four-wheeled carriage with back seats and a coachmans seat.
Sled,PHB,Vehicle,Drawn,,Carpenters-Tools,Stable,Town-Access,Wood,"Textile, Metal",,300.00,1.60,12.80,3.20,4.80,9.60,6.40,16.00,28.00,20.00,"a vehicle, typically on runners, for conveying goods or passengers over snow or ice, either pushed or pulled, or drawn by horses, or dogs."
Wagon,PHB,Vehicle,Drawn,,Carpenters-Tools,Stable,Town-Access,Wood,"Textile, Metal",,400.00,2.80,22.40,5.60,8.40,16.80,11.20,28.00,49.00,35.00,"heavy four-wheeled vehicle pulled by draught animals or on occasion by humans, used for transporting goods, commodities, agricultural materials, supplies and sometimes people"
Padded Armor,PHB,Armor,Light,,Weavers-Tools,Tailor,All-Access,Textile,,"Dye, Gem, Metal, Mineral",8.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"Padded armor consists of quilted layers of cloth and batting.

The wearer has disadvantage on Dexterity (Stealth) checks."
"Ale, Gallon",PHB,Foodstuffs,Drink,,Brewers-Supplies,Tavern,All-Access,Fluid,,"Foodstuff, Spice",-,0.02,0.13,0.03,0.05,0.10,0.06,0.16,0.28,0.20,a type of beer with a bitter flavor and higher alcoholic content
"Ale, Mug",PHB,Foodstuffs,Drink,,Brewers-Supplies,Tavern,All-Access,Fluid,,"Foodstuff, Spice",-,0.00,0.03,0.01,0.01,0.02,0.01,0.03,0.06,0.04,a type of beer with a bitter flavor and higher alcoholic content
Milk,HB,Foodstuffs,Drink,,Brewers-Supplies,Tavern,All-Access,-,-,-,-,0.00,0.02,0.00,0.01,0.01,0.01,0.02,0.04,0.03, nutrient-rich liquid food produced by the mammary glands of mammals
